"_1_Algorithm","_1_Regularization","_1_Transformation","_2_Num_Clusters","_3_Calinski_Score","_3_Silhoutte_Score","_4_Tuning","_5_Image","_Cluster_0","_Cluster_1","_Cluster_10","_Cluster_11","_Cluster_12","_Cluster_13","_Cluster_14","_Cluster_15","_Cluster_2","_Cluster_3","_Cluster_4","_Cluster_5","_Cluster_6","_Cluster_7","_Cluster_8","_Cluster_9"
"K-Means","None","None","4","3479.50539862","0.86296018609","Clusters = 4","images/KMeans_None_None_4.png","678","23","","","","","","","3","1","","","","","",""
"K-Means","None","None","6","6910.14575972","0.714421743669","Clusters = 6","images/KMeans_None_None_6.png","584","99","","","","","","","18","2","1","1","","","",""
"K-Means","None","None","8","10466.2408766","0.648072327353","Clusters = 8","images/KMeans_None_None_8.png","519","125","","","","","","","39","12","6","2","1","1","",""
"K-Means","None","None","10","11668.3259901","0.576380623926","Clusters = 10","images/KMeans_None_None_10.png","443","141","","","","","","","68","31","11","4","3","2","1","1"
"K-Means","None","None","12","11928.2838156","0.508425186194","Clusters = 12","images/KMeans_None_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","None","14","11922.3902125","0.507292458462","Clusters = 14","images/KMeans_None_None_14.png","380","147","1","1","1","1","","","80","42","24","11","10","4","2","1"
"Affinity Propogation","None","None","324","1133.19462352","0.0575485553176","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","332","462.433260769","0.0503021496241","Preference = 4","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","60","3443.5315494","0.235061031967","Preference = 7","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","13","11685.0556306","0.587450204661","Preference = 10","images/Affinity_None_None_10.png","487","111","1","1","1","","","","54","30","10","4","3","1","1","1"
"Affinity Propogation","None","None","19","7262.04843575","0.262276294105","Preference = 13","","248","113","12","11","5","4","3","1","63","50","46","37","32","31","30","16"
"Affinity Propogation","None","None","324","228.478063536","0.0512296259988","Preference = 16","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 19","images/Affinity_None_None_19.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 22","images/Affinity_None_None_22.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","None","544","68.8205106679","0.022448381302","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","476","106.908297456","0.0353408288934","Preference = 28","","","","","","","","","","","","","","","","",""
"K-Means","mm","None","4","196.56896082","0.185026128943","Clusters = 4","images/KMeans_None_mm_4.png","219","212","","","","","","","153","121","","","","","",""
"K-Means","mm","None","6","157.276941277","0.150977599325","Clusters = 6","images/KMeans_None_mm_6.png","175","137","","","","","","","129","93","86","85","","","",""
"K-Means","mm","None","8","135.323907011","0.145661394059","Clusters = 8","images/KMeans_None_mm_8.png","166","112","","","","","","","111","78","73","67","51","47","",""
"K-Means","mm","None","10","117.726745002","0.145323379018","Clusters = 10","images/KMeans_None_mm_10.png","132","97","","","","","","","86","66","66","60","55","53","46","44"
"K-Means","mm","None","12","103.292111817","0.138262411715","Clusters = 12","images/KMeans_None_mm_12.png","131","99","32","31","","","","","63","60","57","55","49","46","42","40"
"K-Means","mm","None","14","94.6797733979","0.123689778288","Clusters = 14","images/KMeans_None_mm_14.png","102","79","37","36","33","28","","","63","52","51","48","48","47","43","38"
"Affinity Propogation","mm","None","90","28.1847215288","0.0812824560224","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","mm","None","24","61.7865264361","0.0887390199816","Preference = 4","","84","60","27","26","25","25","25","23","60","58","37","33","30","28","28","28"
"Affinity Propogation","mm","None","15","82.6941707096","0.107593297414","Preference = 7","images/Affinity_None_mm_7.png","151","89","26","26","26","24","14","","58","57","48","44","43","34","33","32"
"Affinity Propogation","mm","None","11","101.095108414","0.126330593894","Preference = 10","images/Affinity_None_mm_10.png","153","127","26","","","","","","101","64","47","47","45","39","29","27"
"Affinity Propogation","mm","None","9","114.062155072","0.137752932738","Preference = 13","images/Affinity_None_mm_13.png","186","148","","","","","","","81","72","58","54","47","30","29",""
"Affinity Propogation","mm","None","9","116.488472029","0.14011239014","Preference = 16","images/Affinity_None_mm_16.png","180","123","","","","","","","74","72","59","57","55","51","34",""
"Affinity Propogation","mm","None","8","124.22582675","0.13893652309","Preference = 19","images/Affinity_None_mm_19.png","188","150","","","","","","","90","83","57","52","51","34","",""
"Affinity Propogation","mm","None","7","135.608400955","0.134698787718","Preference = 22","images/Affinity_None_mm_22.png","153","152","","","","","","","119","90","85","68","38","","",""
"Affinity Propogation","mm","None","6","141.8252074","0.147281634748","Preference = 25","images/Affinity_None_mm_25.png","207","158","","","","","","","110","80","76","74","","","",""
"Affinity Propogation","mm","None","6","142.63497217","0.129109489398","Preference = 28","images/Affinity_None_mm_28.png","156","153","","","","","","","119","105","88","84","","","",""
"K-Means","z","None","4","211.470649292","0.171621442005","Clusters = 4","images/KMeans_None_z_4.png","261","226","","","","","","","130","88","","","","","",""
"K-Means","z","None","6","161.895957449","0.151207471585","Clusters = 6","images/KMeans_None_z_6.png","240","167","","","","","","","84","84","66","64","","","",""
"K-Means","z","None","8","131.129950534","0.131648688105","Clusters = 8","images/KMeans_None_z_8.png","219","160","","","","","","","68","66","57","48","46","41","",""
"K-Means","z","None","10","113.041244528","0.129173163973","Clusters = 10","images/KMeans_None_z_10.png","194","118","","","","","","","74","67","61","50","44","37","34","26"
"K-Means","z","None","12","98.9684815585","0.0929194042006","Clusters = 12","images/KMeans_None_z_12.png","146","101","25","24","","","","","92","63","53","51","48","44","30","28"
"K-Means","z","None","14","88.9935347039","0.0867718159495","Clusters = 14","images/KMeans_None_z_14.png","128","115","25","22","19","17","","","94","53","49","43","38","37","36","29"
"Affinity Propogation","z","None","63","30.7291600592","0.060215515683","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","z","None","15","79.8343694435","0.0809670745769","Preference = 4","images/Affinity_None_z_4.png","152","78","31","29","27","18","17","","72","62","42","38","38","36","33","32"
"Affinity Propogation","z","None","11","100.380478268","0.0906810969709","Preference = 7","images/Affinity_None_z_7.png","158","109","25","","","","","","96","86","45","43","41","38","36","28"
"Affinity Propogation","z","None","8","124.614794797","0.0961977455584","Preference = 10","images/Affinity_None_z_10.png","212","139","","","","","","","91","68","64","51","49","31","",""
"Affinity Propogation","z","None","8","123.743361775","0.122149073325","Preference = 13","images/Affinity_None_z_13.png","217","108","","","","","","","97","77","70","49","47","40","",""
"Affinity Propogation","z","None","6","153.628598131","0.125749328648","Preference = 16","images/Affinity_None_z_16.png","238","140","","","","","","","105","93","69","60","","","",""
"Affinity Propogation","z","None","6","152.550301418","0.145209528209","Preference = 19","images/Affinity_None_z_19.png","289","142","","","","","","","77","71","64","62","","","",""
"Affinity Propogation","z","None","5","174.690689189","0.163031837718","Preference = 22","images/Affinity_None_z_22.png","313","141","","","","","","","107","75","69","","","","",""
"Affinity Propogation","z","None","268","11.5861078869","0.0150608067106","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","z","None","4","201.141058334","0.23936578087","Preference = 28","images/Affinity_None_z_28.png","402","124","","","","","","","97","82","","","","","",""
"K-Means","None","r3","4","3481.66089385","0.863031398088","Clusters = 4","images/KMeans_r3_None_4.png","678","23","","","","","","","3","1","","","","","",""
"K-Means","None","r3","6","6919.51493301","0.71465844301","Clusters = 6","images/KMeans_r3_None_6.png","584","99","","","","","","","18","2","1","1","","","",""
"K-Means","None","r3","8","10450.6989179","0.648651245688","Clusters = 8","images/KMeans_r3_None_8.png","519","125","","","","","","","39","11","7","2","1","1","",""
"K-Means","None","r3","10","11715.4965332","0.576871883614","Clusters = 10","images/KMeans_r3_None_10.png","443","141","","","","","","","68","31","11","4","3","2","1","1"
"K-Means","None","r3","12","11975.3989373","0.509052709553","Clusters = 12","images/KMeans_r3_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","r3","14","11941.0164091","0.539113100506","Clusters = 14","images/KMeans_r3_None_14.png","417","138","1","1","1","1","","","62","35","23","11","8","4","2","1"
"Affinity Propogation","None","r3","39","15049.028857","0.408869633477","Preference = 1","","319","116","8","6","5","3","3","2","64","36","30","24","21","19","16","10"
"Affinity Propogation","None","r3","20","11932.8578755","0.546195061249","Preference = 4","","446","122","1","1","1","1","1","1","57","22","19","10","8","6","3","2"
"Affinity Propogation","None","r3","15","12422.1411237","0.556352664418","Preference = 7","images/Affinity_r3_None_7.png","453","118","1","1","1","1","1","","55","27","23","10","6","4","3","1"
"Affinity Propogation","None","r3","12","9564.66230564","0.667586260146","Preference = 10","images/Affinity_r3_None_10.png","565","87","1","1","","","","","30","10","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11461.0703275","0.59157951286","Preference = 13","images/Affinity_r3_None_13.png","505","99","1","","","","","","48","31","11","4","3","1","1","1"
"Affinity Propogation","None","r3","10","10162.6415358","0.666597279044","Preference = 16","images/Affinity_r3_None_16.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","10","9135.27691185","0.674252018929","Preference = 19","images/Affinity_r3_None_19.png","584","76","","","","","","","23","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11227.8610693","0.603809267265","Preference = 22","images/Affinity_r3_None_22.png","503","113","1","","","","","","44","23","11","4","3","1","1","1"
"Affinity Propogation","None","r3","542","70.206311835","0.0248752667187","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","r3","9","7158.16017508","0.73546280814","Preference = 28","images/Affinity_r3_None_28.png","626","57","","","","","","","11","4","3","1","1","1","1",""
"K-Means","mm","r3","4","199.58666047","0.18536467418","Clusters = 4","images/KMeans_r3_mm_4.png","236","198","","","","","","","151","120","","","","","",""
"K-Means","mm","r3","6","159.869066934","0.154134710287","Clusters = 6","images/KMeans_r3_mm_6.png","168","149","","","","","","","127","90","88","83","","","",""
"K-Means","mm","r3","8","137.667991415","0.147879640951","Clusters = 8","images/KMeans_r3_mm_8.png","167","113","","","","","","","112","76","66","65","60","46","",""
"K-Means","mm","r3","10","119.63332029","0.144788959414","Clusters = 10","images/KMeans_r3_mm_10.png","131","94","","","","","","","90","84","65","56","53","45","44","43"
"K-Means","mm","r3","12","105.691335033","0.12964237327","Clusters = 12","images/KMeans_r3_mm_12.png","105","98","39","18","","","","","70","64","62","61","52","51","45","40"
"K-Means","mm","r3","14","95.4661784109","0.114786912643","Clusters = 14","images/KMeans_r3_mm_14.png","82","75","37","35","28","27","","","69","65","59","49","48","48","42","41"
"Affinity Propogation","mm","r3","85","29.4023366445","0.0810323544101","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","mm","r3","25","61.890402377","0.0907350712337","Preference = 4","","94","53","26","25","25","24","24","23","53","50","37","34","30","28","28","27"
"Affinity Propogation","mm","r3","16","81.478544587","0.114253929854","Preference = 7","","157","100","27","27","25","23","17","12","63","47","38","35","35","35","34","30"
"Affinity Propogation","mm","r3","12","95.2519362239","0.124834647815","Preference = 10","images/Affinity_r3_mm_10.png","143","127","32","23","","","","","93","48","45","43","41","39","38","33"
"Affinity Propogation","mm","r3","9","115.161782066","0.128994126666","Preference = 13","images/Affinity_r3_mm_13.png","156","145","","","","","","","114","78","50","50","45","34","33",""
"Affinity Propogation","mm","r3","9","114.893120903","0.125511412575","Preference = 16","images/Affinity_r3_mm_16.png","160","152","","","","","","","91","72","60","57","45","40","28",""
"Affinity Propogation","mm","r3","8","123.780396391","0.123252691347","Preference = 19","images/Affinity_r3_mm_19.png","164","159","","","","","","","105","85","79","45","40","28","",""
"Affinity Propogation","mm","r3","7","138.014354147","0.140487595819","Preference = 22","images/Affinity_r3_mm_22.png","187","156","","","","","","","109","95","74","50","34","","",""
"Affinity Propogation","mm","r3","6","149.104303038","0.141682314573","Preference = 25","images/Affinity_r3_mm_25.png","195","144","","","","","","","124","84","81","77","","","",""
"Affinity Propogation","mm","r3","6","148.219210193","0.130455963372","Preference = 28","images/Affinity_r3_mm_28.png","141","141","","","","","","","131","114","105","73","","","",""
"K-Means","z","r3","4","215.049573247","0.175448770169","Clusters = 4","images/KMeans_r3_z_4.png","266","223","","","","","","","129","87","","","","","",""
"K-Means","z","r3","6","164.879992488","0.154262746727","Clusters = 6","images/KMeans_r3_z_6.png","247","162","","","","","","","84","82","66","64","","","",""
"K-Means","z","r3","8","134.468361209","0.136567861424","Clusters = 8","images/KMeans_r3_z_8.png","183","130","","","","","","","92","84","73","63","46","34","",""
"K-Means","z","r3","10","115.717838803","0.126242713946","Clusters = 10","images/KMeans_r3_z_10.png","180","122","","","","","","","64","58","57","52","49","48","44","31"
"K-Means","z","r3","12","100.396493921","0.0940009101323","Clusters = 12","images/KMeans_r3_z_12.png","135","111","25","17","","","","","90","57","50","50","46","44","42","38"
"K-Means","z","r3","14","90.1395040454","0.132950878674","Clusters = 14","images/KMeans_r3_z_14.png","192","95","25","20","17","16","","","62","49","46","43","41","37","34","28"
"K-Means","None","None","4","3479.50539862","0.86296018609","Clusters = 4","images/KMeans_None_None_4.png","678","23","","","","","","","3","1","","","","","",""
"K-Means","None","None","6","6910.14575972","0.714421743669","Clusters = 6","images/KMeans_None_None_6.png","584","99","","","","","","","18","2","1","1","","","",""
"K-Means","None","None","8","10466.2408766","0.648072327353","Clusters = 8","images/KMeans_None_None_8.png","519","125","","","","","","","39","12","6","2","1","1","",""
"K-Means","None","None","10","11668.3259901","0.576380623926","Clusters = 10","images/KMeans_None_None_10.png","443","141","","","","","","","68","31","11","4","3","2","1","1"
"K-Means","None","None","12","11928.2838156","0.508425186194","Clusters = 12","images/KMeans_None_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","None","14","11922.3902125","0.507292458462","Clusters = 14","images/KMeans_None_None_14.png","380","147","1","1","1","1","","","80","42","24","11","10","4","2","1"
"Affinity Propogation","None","None","324","1133.19462352","0.0575485553176","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","332","462.433260769","0.0503021496241","Preference = 4","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","60","3443.5315494","0.235061031967","Preference = 7","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","13","11685.0556306","0.587450204661","Preference = 10","images/Affinity_None_None_10.png","487","111","1","1","1","","","","54","30","10","4","3","1","1","1"
"Affinity Propogation","None","None","19","7262.04843575","0.262276294105","Preference = 13","","248","113","12","11","5","4","3","1","63","50","46","37","32","31","30","16"
"Affinity Propogation","None","None","324","228.478063536","0.0512296259988","Preference = 16","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 19","images/Affinity_None_None_19.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 22","images/Affinity_None_None_22.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","None","544","68.8205106679","0.022448381302","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","476","106.908297456","0.0353408288934","Preference = 28","","","","","","","","","","","","","","","","",""
"K-Means","mm","None","4","196.56896082","0.185026128943","Clusters = 4","images/KMeans_None_mm_4.png","219","212","","","","","","","153","121","","","","","",""
"K-Means","mm","None","6","157.276941277","0.150977599325","Clusters = 6","images/KMeans_None_mm_6.png","175","137","","","","","","","129","93","86","85","","","",""
"K-Means","mm","None","8","135.323907011","0.145661394059","Clusters = 8","images/KMeans_None_mm_8.png","166","112","","","","","","","111","78","73","67","51","47","",""
"K-Means","mm","None","10","117.726745002","0.145323379018","Clusters = 10","images/KMeans_None_mm_10.png","132","97","","","","","","","86","66","66","60","55","53","46","44"
"K-Means","mm","None","12","103.292111817","0.138262411715","Clusters = 12","images/KMeans_None_mm_12.png","131","99","32","31","","","","","63","60","57","55","49","46","42","40"
"K-Means","mm","None","14","94.6797733979","0.123689778288","Clusters = 14","images/KMeans_None_mm_14.png","102","79","37","36","33","28","","","63","52","51","48","48","47","43","38"
"Affinity Propogation","mm","None","90","28.1847215288","0.0812824560224","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","mm","None","24","61.7865264361","0.0887390199816","Preference = 4","","84","60","27","26","25","25","25","23","60","58","37","33","30","28","28","28"
"Affinity Propogation","mm","None","15","82.6941707096","0.107593297414","Preference = 7","images/Affinity_None_mm_7.png","151","89","26","26","26","24","14","","58","57","48","44","43","34","33","32"
"Affinity Propogation","mm","None","11","101.095108414","0.126330593894","Preference = 10","images/Affinity_None_mm_10.png","153","127","26","","","","","","101","64","47","47","45","39","29","27"
"Affinity Propogation","mm","None","9","114.062155072","0.137752932738","Preference = 13","images/Affinity_None_mm_13.png","186","148","","","","","","","81","72","58","54","47","30","29",""
"Affinity Propogation","mm","None","9","116.488472029","0.14011239014","Preference = 16","images/Affinity_None_mm_16.png","180","123","","","","","","","74","72","59","57","55","51","34",""
"Affinity Propogation","mm","None","8","124.22582675","0.13893652309","Preference = 19","images/Affinity_None_mm_19.png","188","150","","","","","","","90","83","57","52","51","34","",""
"Affinity Propogation","mm","None","7","135.608400955","0.134698787718","Preference = 22","images/Affinity_None_mm_22.png","153","152","","","","","","","119","90","85","68","38","","",""
"Affinity Propogation","mm","None","6","141.8252074","0.147281634748","Preference = 25","images/Affinity_None_mm_25.png","207","158","","","","","","","110","80","76","74","","","",""
"Affinity Propogation","mm","None","6","142.63497217","0.129109489398","Preference = 28","images/Affinity_None_mm_28.png","156","153","","","","","","","119","105","88","84","","","",""
"K-Means","z","None","4","211.470649292","0.171621442005","Clusters = 4","images/KMeans_None_z_4.png","261","226","","","","","","","130","88","","","","","",""
"K-Means","z","None","6","161.895957449","0.151207471585","Clusters = 6","images/KMeans_None_z_6.png","240","167","","","","","","","84","84","66","64","","","",""
"K-Means","z","None","8","131.129950534","0.131648688105","Clusters = 8","images/KMeans_None_z_8.png","219","160","","","","","","","68","66","57","48","46","41","",""
"K-Means","z","None","10","113.041244528","0.129173163973","Clusters = 10","images/KMeans_None_z_10.png","194","118","","","","","","","74","67","61","50","44","37","34","26"
"K-Means","z","None","12","98.9684815585","0.0929194042006","Clusters = 12","images/KMeans_None_z_12.png","146","101","25","24","","","","","92","63","53","51","48","44","30","28"
"K-Means","z","None","14","88.9935347039","0.0867718159495","Clusters = 14","images/KMeans_None_z_14.png","128","115","25","22","19","17","","","94","53","49","43","38","37","36","29"
"Affinity Propogation","z","None","63","30.7291600592","0.060215515683","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","z","None","15","79.8343694435","0.0809670745769","Preference = 4","images/Affinity_None_z_4.png","152","78","31","29","27","18","17","","72","62","42","38","38","36","33","32"
"Affinity Propogation","z","None","11","100.380478268","0.0906810969709","Preference = 7","images/Affinity_None_z_7.png","158","109","25","","","","","","96","86","45","43","41","38","36","28"
"Affinity Propogation","z","None","8","124.614794797","0.0961977455584","Preference = 10","images/Affinity_None_z_10.png","212","139","","","","","","","91","68","64","51","49","31","",""
"Affinity Propogation","z","None","8","123.743361775","0.122149073325","Preference = 13","images/Affinity_None_z_13.png","217","108","","","","","","","97","77","70","49","47","40","",""
"Affinity Propogation","z","None","6","153.628598131","0.125749328648","Preference = 16","images/Affinity_None_z_16.png","238","140","","","","","","","105","93","69","60","","","",""
"Affinity Propogation","z","None","6","152.550301418","0.145209528209","Preference = 19","images/Affinity_None_z_19.png","289","142","","","","","","","77","71","64","62","","","",""
"Affinity Propogation","z","None","5","174.690689189","0.163031837718","Preference = 22","images/Affinity_None_z_22.png","313","141","","","","","","","107","75","69","","","","",""
"Affinity Propogation","z","None","268","11.5861078869","0.0150608067106","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","z","None","4","201.141058334","0.23936578087","Preference = 28","images/Affinity_None_z_28.png","402","124","","","","","","","97","82","","","","","",""
"K-Means","None","r3","4","3481.66089385","0.863031398088","Clusters = 4","images/KMeans_r3_None_4.png","678","23","","","","","","","3","1","","","","","",""
"K-Means","None","r3","6","6919.51493301","0.71465844301","Clusters = 6","images/KMeans_r3_None_6.png","584","99","","","","","","","18","2","1","1","","","",""
"K-Means","None","r3","8","10450.6989179","0.648651245688","Clusters = 8","images/KMeans_r3_None_8.png","519","125","","","","","","","39","11","7","2","1","1","",""
"K-Means","None","r3","10","11715.4965332","0.576871883614","Clusters = 10","images/KMeans_r3_None_10.png","443","141","","","","","","","68","31","11","4","3","2","1","1"
"K-Means","None","r3","12","11975.3989373","0.509052709553","Clusters = 12","images/KMeans_r3_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","r3","14","11941.0164091","0.539113100506","Clusters = 14","images/KMeans_r3_None_14.png","417","138","1","1","1","1","","","62","35","23","11","8","4","2","1"
"Affinity Propogation","None","r3","39","15049.028857","0.408869633477","Preference = 1","","319","116","8","6","5","3","3","2","64","36","30","24","21","19","16","10"
"Affinity Propogation","None","r3","20","11932.8578755","0.546195061249","Preference = 4","","446","122","1","1","1","1","1","1","57","22","19","10","8","6","3","2"
"Affinity Propogation","None","r3","15","12422.1411237","0.556352664418","Preference = 7","images/Affinity_r3_None_7.png","453","118","1","1","1","1","1","","55","27","23","10","6","4","3","1"
"Affinity Propogation","None","r3","12","9564.66230564","0.667586260146","Preference = 10","images/Affinity_r3_None_10.png","565","87","1","1","","","","","30","10","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11461.0703275","0.59157951286","Preference = 13","images/Affinity_r3_None_13.png","505","99","1","","","","","","48","31","11","4","3","1","1","1"
"Affinity Propogation","None","r3","10","10162.6415358","0.666597279044","Preference = 16","images/Affinity_r3_None_16.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","10","9135.27691185","0.674252018929","Preference = 19","images/Affinity_r3_None_19.png","584","76","","","","","","","23","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11227.8610693","0.603809267265","Preference = 22","images/Affinity_r3_None_22.png","503","113","1","","","","","","44","23","11","4","3","1","1","1"
"Affinity Propogation","None","r3","542","70.206311835","0.0248752667187","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","r3","9","7158.16017508","0.73546280814","Preference = 28","images/Affinity_r3_None_28.png","626","57","","","","","","","11","4","3","1","1","1","1",""
"K-Means","mm","r3","4","199.58666047","0.18536467418","Clusters = 4","images/KMeans_r3_mm_4.png","236","198","","","","","","","151","120","","","","","",""
"K-Means","mm","r3","6","159.869066934","0.154134710287","Clusters = 6","images/KMeans_r3_mm_6.png","168","149","","","","","","","127","90","88","83","","","",""
"K-Means","mm","r3","8","137.667991415","0.147879640951","Clusters = 8","images/KMeans_r3_mm_8.png","167","113","","","","","","","112","76","66","65","60","46","",""
"K-Means","mm","r3","10","119.63332029","0.144788959414","Clusters = 10","images/KMeans_r3_mm_10.png","131","94","","","","","","","90","84","65","56","53","45","44","43"
"K-Means","mm","r3","12","105.691335033","0.12964237327","Clusters = 12","images/KMeans_r3_mm_12.png","105","98","39","18","","","","","70","64","62","61","52","51","45","40"
"K-Means","mm","r3","14","95.4661784109","0.114786912643","Clusters = 14","images/KMeans_r3_mm_14.png","82","75","37","35","28","27","","","69","65","59","49","48","48","42","41"
"Affinity Propogation","mm","r3","85","29.4023366445","0.0810323544101","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","mm","r3","25","61.890402377","0.0907350712337","Preference = 4","","94","53","26","25","25","24","24","23","53","50","37","34","30","28","28","27"
"Affinity Propogation","mm","r3","16","81.478544587","0.114253929854","Preference = 7","","157","100","27","27","25","23","17","12","63","47","38","35","35","35","34","30"
"Affinity Propogation","mm","r3","12","95.2519362239","0.124834647815","Preference = 10","images/Affinity_r3_mm_10.png","143","127","32","23","","","","","93","48","45","43","41","39","38","33"
"Affinity Propogation","mm","r3","9","115.161782066","0.128994126666","Preference = 13","images/Affinity_r3_mm_13.png","156","145","","","","","","","114","78","50","50","45","34","33",""
"Affinity Propogation","mm","r3","9","114.893120903","0.125511412575","Preference = 16","images/Affinity_r3_mm_16.png","160","152","","","","","","","91","72","60","57","45","40","28",""
"Affinity Propogation","mm","r3","8","123.780396391","0.123252691347","Preference = 19","images/Affinity_r3_mm_19.png","164","159","","","","","","","105","85","79","45","40","28","",""
"Affinity Propogation","mm","r3","7","138.014354147","0.140487595819","Preference = 22","images/Affinity_r3_mm_22.png","187","156","","","","","","","109","95","74","50","34","","",""
"Affinity Propogation","mm","r3","6","149.104303038","0.141682314573","Preference = 25","images/Affinity_r3_mm_25.png","195","144","","","","","","","124","84","81","77","","","",""
"Affinity Propogation","mm","r3","6","148.219210193","0.130455963372","Preference = 28","images/Affinity_r3_mm_28.png","141","141","","","","","","","131","114","105","73","","","",""
"K-Means","z","r3","4","215.049573247","0.175448770169","Clusters = 4","images/KMeans_r3_z_4.png","266","223","","","","","","","129","87","","","","","",""
"K-Means","z","r3","6","164.879992488","0.154262746727","Clusters = 6","images/KMeans_r3_z_6.png","247","162","","","","","","","84","82","66","64","","","",""
"K-Means","z","r3","8","134.468361209","0.136567861424","Clusters = 8","images/KMeans_r3_z_8.png","183","130","","","","","","","92","84","73","63","46","34","",""
"K-Means","z","r3","10","115.717838803","0.126242713946","Clusters = 10","images/KMeans_r3_z_10.png","180","122","","","","","","","64","58","57","52","49","48","44","31"
"K-Means","z","r3","12","100.396493921","0.0940009101323","Clusters = 12","images/KMeans_r3_z_12.png","135","111","25","17","","","","","90","57","50","50","46","44","42","38"
"K-Means","z","r3","14","90.1395040454","0.132950878674","Clusters = 14","images/KMeans_r3_z_14.png","192","95","25","20","17","16","","","62","49","46","43","41","37","34","28"
